areaCode,areaName,areaType,date,newCasesBySpecimenDate,newCasesInUK,newCasesAsPercentageOfUK
E08000003,Manchester,ltla,02/10/2021,32,25866,0.123714529
E08000003,Manchester,ltla,01/10/2021,137,28580,0.479356193
E08000003,Manchester,ltla,30/09/2021,183,32002,0.57183926
E08000003,Manchester,ltla,29/09/2021,175,34294,0.510293346
E08000003,Manchester,ltla,28/09/2021,207,35912,0.576409
E08000003,Manchester,ltla,27/09/2021,238,40905,0.581835961
E08000003,Manchester,ltla,26/09/2021,128,31515,0.406155799
E08000003,Manchester,ltla,25/09/2021,109,27854,0.391326201
E08000003,Manchester,ltla,24/09/2021,180,31595,0.569710397
E08000003,Manchester,ltla,23/09/2021,172,35216,0.488414357
E08000003,Manchester,ltla,22/09/2021,176,36149,0.486873772
E08000003,Manchester,ltla,21/09/2021,173,38266,0.452098469
E08000003,Manchester,ltla,20/09/2021,220,40106,0.548546352
E08000003,Manchester,ltla,19/09/2021,138,30544,0.451807229
E08000003,Manchester,ltla,18/09/2021,141,26304,0.536040146
E08000003,Manchester,ltla,17/09/2021,146,29060,0.502408809
E08000003,Manchester,ltla,16/09/2021,200,29176,0.685494927
E08000003,Manchester,ltla,15/09/2021,152,29948,0.507546414
E08000003,Manchester,ltla,14/09/2021,187,30940,0.604395604
E08000003,Manchester,ltla,13/09/2021,189,34118,0.553959787
E08000003,Manchester,ltla,12/09/2021,141,23671,0.595665582
E08000003,Manchester,ltla,11/09/2021,129,23204,0.555938631
E08000003,Manchester,ltla,10/09/2021,181,28727,0.630069273
E08000003,Manchester,ltla,09/09/2021,229,33410,0.685423526
E08000003,Manchester,ltla,08/09/2021,250,35239,0.709441244
E08000003,Manchester,ltla,07/09/2021,240,38020,0.631246712
E08000003,Manchester,ltla,06/09/2021,301,44146,0.681828478
E08000003,Manchester,ltla,05/09/2021,218,31254,0.697510719
E08000003,Manchester,ltla,04/09/2021,200,31365,0.637653435
E08000003,Manchester,ltla,03/09/2021,243,38022,0.639103677
E08000003,Manchester,ltla,02/09/2021,298,41626,0.715898717
E08000003,Manchester,ltla,01/09/2021,302,42836,0.705014474
E08000003,Manchester,ltla,31/08/2021,296,44481,0.665452665
E08000003,Manchester,ltla,30/08/2021,191,34176,0.558871723
E08000003,Manchester,ltla,29/08/2021,161,25697,0.62653228
E08000003,Manchester,ltla,28/08/2021,141,27165,0.519050248
E08000003,Manchester,ltla,27/08/2021,218,33182,0.656982701
E08000003,Manchester,ltla,26/08/2021,257,36985,0.694876301
E08000003,Manchester,ltla,25/08/2021,283,38098,0.742821145
E08000003,Manchester,ltla,24/08/2021,256,37024,0.691443388
E08000003,Manchester,ltla,23/08/2021,255,39042,0.653142769
E08000003,Manchester,ltla,22/08/2021,193,28299,0.682002898
E08000003,Manchester,ltla,21/08/2021,219,28091,0.779609127
E08000003,Manchester,ltla,20/08/2021,237,31673,0.748271398
E08000003,Manchester,ltla,19/08/2021,288,35833,0.803728407
E08000003,Manchester,ltla,18/08/2021,307,38012,0.807639693
E08000003,Manchester,ltla,17/08/2021,263,37188,0.707217382
E08000003,Manchester,ltla,16/08/2021,321,36193,0.886911834
E08000003,Manchester,ltla,15/08/2021,194,24923,0.778397464
E08000003,Manchester,ltla,14/08/2021,199,24646,0.807433255
E08000003,Manchester,ltla,13/08/2021,239,28448,0.840129359
E08000003,Manchester,ltla,12/08/2021,310,31130,0.995823964
E08000003,Manchester,ltla,11/08/2021,292,32739,0.891902624
E08000003,Manchester,ltla,10/08/2021,314,30931,1.015162782
E08000003,Manchester,ltla,09/08/2021,315,31533,0.998953477
E08000003,Manchester,ltla,08/08/2021,210,22418,0.936747257
E08000003,Manchester,ltla,07/08/2021,226,22114,1.021977028
E08000003,Manchester,ltla,06/08/2021,246,27542,0.893181323
E08000003,Manchester,ltla,05/08/2021,302,31082,0.971623448
E08000003,Manchester,ltla,04/08/2021,324,31727,1.021212217
E08000003,Manchester,ltla,03/08/2021,331,29819,1.110030517
E08000003,Manchester,ltla,02/08/2021,335,29276,1.144282006
E08000003,Manchester,ltla,01/08/2021,183,20513,0.892117194
E08000003,Manchester,ltla,31/07/2021,197,20153,0.977521957
E08000003,Manchester,ltla,30/07/2021,248,24283,1.021290615
E08000003,Manchester,ltla,29/07/2021,320,27908,1.146624624
E08000003,Manchester,ltla,28/07/2021,342,29663,1.152951488
E08000003,Manchester,ltla,27/07/2021,274,29046,0.943331268
E08000003,Manchester,ltla,26/07/2021,318,29398,1.081706239
E08000003,Manchester,ltla,25/07/2021,225,21776,1.033247612
E08000003,Manchester,ltla,24/07/2021,218,22481,0.969707753
E08000003,Manchester,ltla,23/07/2021,258,27278,0.945817142
E08000003,Manchester,ltla,22/07/2021,284,30749,0.923607272
E08000003,Manchester,ltla,21/07/2021,350,34930,1.002004008
E08000003,Manchester,ltla,20/07/2021,368,39067,0.941971485
E08000003,Manchester,ltla,19/07/2021,442,46905,0.942330242
E08000003,Manchester,ltla,18/07/2021,307,35504,0.864691302
E08000003,Manchester,ltla,17/07/2021,360,37854,0.951022349
E08000003,Manchester,ltla,16/07/2021,547,54241,1.008462233
E08000003,Manchester,ltla,15/07/2021,535,60764,0.880455533
E08000003,Manchester,ltla,14/07/2021,560,53833,1.040254119
E08000003,Manchester,ltla,13/07/2021,477,46735,1.020648336
E08000003,Manchester,ltla,12/07/2021,430,43648,0.985153959
E08000003,Manchester,ltla,11/07/2021,331,30027,1.102341226
E08000003,Manchester,ltla,10/07/2021,334,27878,1.198077337
E08000003,Manchester,ltla,09/07/2021,381,32222,1.182421948
E08000003,Manchester,ltla,08/07/2021,424,33353,1.271249963
E08000003,Manchester,ltla,07/07/2021,453,37819,1.197810624
E08000003,Manchester,ltla,06/07/2021,430,35367,1.21582266
E08000003,Manchester,ltla,05/07/2021,427,34200,1.248538012
E08000003,Manchester,ltla,04/07/2021,314,24672,1.272697795
E08000003,Manchester,ltla,03/07/2021,324,23567,1.374803751
E08000003,Manchester,ltla,02/07/2021,389,25785,1.508629048
E08000003,Manchester,ltla,01/07/2021,483,28116,1.717883056
E08000003,Manchester,ltla,30/06/2021,495,28331,1.747202711
E08000003,Manchester,ltla,29/06/2021,501,27594,1.81561209
E08000003,Manchester,ltla,28/06/2021,522,27747,1.881284463
E08000003,Manchester,ltla,27/06/2021,303,18128,1.671447485
E08000003,Manchester,ltla,26/06/2021,319,15972,1.997245179
E08000003,Manchester,ltla,25/06/2021,398,17779,2.238596097
E08000003,Manchester,ltla,24/06/2021,377,18300,2.06010929
E08000003,Manchester,ltla,23/06/2021,394,17909,2.200011168
E08000003,Manchester,ltla,22/06/2021,441,17007,2.593049921
E08000003,Manchester,ltla,21/06/2021,408,15958,2.556711367
E08000003,Manchester,ltla,20/06/2021,241,9872,2.441247974
E08000003,Manchester,ltla,19/06/2021,250,8255,3.028467595
E08000003,Manchester,ltla,18/06/2021,294,10053,2.924500149
E08000003,Manchester,ltla,17/06/2021,354,10773,3.28599276
E08000003,Manchester,ltla,16/06/2021,316,10772,2.933531378
E08000003,Manchester,ltla,15/06/2021,340,10504,3.236862148
E08000003,Manchester,ltla,14/06/2021,324,10106,3.206016228
E08000003,Manchester,ltla,13/06/2021,210,6954,3.019844694
E08000003,Manchester,ltla,12/06/2021,206,6116,3.368214519
E08000003,Manchester,ltla,11/06/2021,263,7442,3.533996238
E08000003,Manchester,ltla,10/06/2021,272,7840,3.469387755
E08000003,Manchester,ltla,09/06/2021,267,8002,3.336665834
E08000003,Manchester,ltla,08/06/2021,312,7675,4.06514658
E08000003,Manchester,ltla,07/06/2021,297,7743,3.835722588
E08000003,Manchester,ltla,06/06/2021,182,5405,3.367252544
E08000003,Manchester,ltla,05/06/2021,149,4623,3.223015358
E08000003,Manchester,ltla,04/06/2021,191,5706,3.347353663
E08000003,Manchester,ltla,03/06/2021,230,6100,3.770491803
E08000003,Manchester,ltla,02/06/2021,221,6049,3.653496446
E08000003,Manchester,ltla,01/06/2021,223,5235,4.259789876
E08000003,Manchester,ltla,31/05/2021,143,3781,3.782068236
E08000003,Manchester,ltla,30/05/2021,114,3094,3.684550743
E08000003,Manchester,ltla,29/05/2021,124,2933,4.227753154
E08000003,Manchester,ltla,28/05/2021,108,3490,3.094555874
E08000003,Manchester,ltla,27/05/2021,122,3639,3.352569387
E08000003,Manchester,ltla,26/05/2021,98,3800,2.578947368
E08000003,Manchester,ltla,25/05/2021,96,3308,2.902055623
E08000003,Manchester,ltla,24/05/2021,100,3237,3.089280198
E08000003,Manchester,ltla,23/05/2021,52,2242,2.319357716
E08000003,Manchester,ltla,22/05/2021,40,1926,2.076843198
E08000003,Manchester,ltla,21/05/2021,51,2294,2.223190933
E08000003,Manchester,ltla,20/05/2021,58,2425,2.391752577
E08000003,Manchester,ltla,19/05/2021,50,2713,1.842978253
E08000003,Manchester,ltla,18/05/2021,86,2708,3.17577548
E08000003,Manchester,ltla,17/05/2021,51,2766,1.843817787
E08000003,Manchester,ltla,16/05/2021,31,1853,1.672962763
E08000003,Manchester,ltla,15/05/2021,23,1582,1.453855879
E08000003,Manchester,ltla,14/05/2021,32,1850,1.72972973
E08000003,Manchester,ltla,13/05/2021,24,2096,1.145038168
E08000003,Manchester,ltla,12/05/2021,44,2231,1.972209771
E08000003,Manchester,ltla,11/05/2021,31,2200,1.409090909
E08000003,Manchester,ltla,10/05/2021,61,2658,2.294958616
E08000003,Manchester,ltla,09/05/2021,35,2172,1.611418048
E08000003,Manchester,ltla,08/05/2021,20,1511,1.323626737
E08000003,Manchester,ltla,07/05/2021,25,1883,1.327668614
E08000003,Manchester,ltla,06/05/2021,36,2166,1.662049861
E08000003,Manchester,ltla,05/05/2021,39,2398,1.626355296
E08000003,Manchester,ltla,04/05/2021,35,2405,1.455301455
E08000003,Manchester,ltla,03/05/2021,30,1971,1.522070015
E08000003,Manchester,ltla,02/05/2021,21,1426,1.472650771
E08000003,Manchester,ltla,01/05/2021,22,1356,1.622418879
E08000003,Manchester,ltla,30/04/2021,20,1705,1.173020528
E08000003,Manchester,ltla,29/04/2021,25,2083,1.200192031
