Country,TRANSACT,Transaction,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,52665.08746,,
Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,54188.36067,,
Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,56914.4717,,
Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,58153.57114,,
Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,55798.23264,,
Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,48599.20268,,
Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,50442.94752,,
Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,52469.58699,,
Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,54327.58963,,
Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,53298.60512,P,Provisional value
Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,51967.02044,,
Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,55356.49009,,
Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,57414.99611,,
Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,58737.88582,,
Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,60365.76487,,
Finland,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,44934.48825,,
Finland,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,47570.27035,,
Finland,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,49519.02597,,
Finland,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,50375.55523,,
Finland,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,50608.16596,,
France,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,42855.94456,,
France,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,44445.59677,,
France,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,46323.51541,,
France,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,48852.52066,P,Provisional value
France,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,46785.14526,P,Provisional value
Germany,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,50579.48372,,
Germany,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,53071.47837,,
Germany,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,,,55173.40613,P,Provisional value
Germany,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,,,55712.56165,P,Provisional value
Germany,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,,,54954.91689,P,Provisional value
Greece,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,,,27511.77767,,
Greece,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,,,28604.79458,,
