VAR,Variable,UNIT,Measure,COU,Country,YEA,dim.YEAR,Value,Flag Codes,Flags
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1995,1995,77.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1996,1996,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1997,1997,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1998,1998,78.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1999,1999,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2000,2000,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2001,2001,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2002,2002,80,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2003,2003,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2004,2004,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2005,2005,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2006,2006,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2007,2007,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2008,2008,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2009,2009,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2010,2010,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2011,2011,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2012,2012,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2013,2013,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2014,2014,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,1995,1995,76.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,1996,1996,77,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,1997,1997,77.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,1998,1998,77.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,1999,1999,78,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2000,2000,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2001,2001,78.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2002,2002,78.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2003,2003,78.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2004,2004,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2005,2005,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2006,2006,80,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2007,2007,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2008,2008,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2009,2009,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2010,2010,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2011,2011,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2012,2012,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2013,2013,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2014,2014,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,1995,1995,77,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,1996,1996,77.3,,
