variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Australia,1960,70.9,,
Total population at birth,Years,Australia,1961,71.2,,
Total population at birth,Years,Australia,1962,71,,
Total population at birth,Years,Australia,1963,71.1,,
Total population at birth,Years,Australia,1964,70.7,,
Total population at birth,Years,Australia,1965,71,,
Total population at birth,Years,Australia,1966,70.8,,
Total population at birth,Years,Australia,1967,71.2,,
Total population at birth,Years,Australia,1968,70.9,,
Total population at birth,Years,Australia,1969,71.1,,
Total population at birth,Years,Australia,1970,70.8,,
Total population at birth,Years,Australia,1971,71.6,,
Total population at birth,Years,Australia,1972,72,,
Total population at birth,Years,Australia,1973,72.1,,
Total population at birth,Years,Australia,1974,71.9,,
Total population at birth,Years,Australia,1975,72.7,,
Total population at birth,Years,Australia,1976,72.8,,
Total population at birth,Years,Australia,1977,73.4,,
Total population at birth,Years,Australia,1978,73.7,,
Total population at birth,Years,Australia,1979,74.3,,
Total population at birth,Years,Australia,1980,74.6,,
Total population at birth,Years,Australia,1981,74.9,,
Total population at birth,Years,Australia,1982,74.7,,
Total population at birth,Years,Australia,1983,75.5,,
Total population at birth,Years,Australia,1984,75.8,,
Total population at birth,Years,Australia,1985,75.6,,
Total population at birth,Years,Australia,1986,76.1,,
Total population at birth,Years,Australia,1987,76.3,,
Total population at birth,Years,Australia,1988,76.3,,
Total population at birth,Years,Australia,1989,76.5,,
Total population at birth,Years,Australia,1990,77,,
Total population at birth,Years,Australia,1991,77.4,,
Total population at birth,Years,Australia,1992,77.5,,
Total population at birth,Years,Australia,1993,78,,
Total population at birth,Years,Australia,1994,78,,
Total population at birth,Years,Australia,1995,77.9,,
Total population at birth,Years,Australia,1996,78.2,,
Total population at birth,Years,Australia,1997,78.5,,
Total population at birth,Years,Australia,1998,78.7,,
Total population at birth,Years,Australia,1999,79,,
Total population at birth,Years,Australia,2000,79.3,,
Total population at birth,Years,Australia,2001,79.7,,
Total population at birth,Years,Australia,2002,80,,
Total population at birth,Years,Australia,2003,80.3,,
Total population at birth,Years,Australia,2004,80.6,,
Total population at birth,Years,Australia,2005,80.9,,
Total population at birth,Years,Australia,2006,81.1,,
Total population at birth,Years,Australia,2007,81.4,,
Total population at birth,Years,Australia,2008,81.5,,
Total population at birth,Years,Australia,2009,81.6,,
Total population at birth,Years,Australia,2010,81.8,,
Total population at birth,Years,Australia,2011,82,,
Total population at birth,Years,Australia,2012,82.1,,
Total population at birth,Years,Australia,2013,82.2,,
Total population at birth,Years,Australia,2014,82.4,,
Total population at birth,Years,Australia,2015,82.5,,
Total population at birth,Years,Australia,2016,82.5,,
Total population at birth,Years,Australia,2017,82.6,,
Total population at birth,Years,Australia,2018,82.8,,
Total population at birth,Years,Australia,2019,83,,
Total population at birth,Years,Austria,1960,68.7,,
Total population at birth,Years,Austria,1961,69.7,,
Total population at birth,Years,Austria,1962,69.4,,
Total population at birth,Years,Austria,1963,69.6,,
Total population at birth,Years,Austria,1964,70,,
Total population at birth,Years,Austria,1965,69.8,,
Total population at birth,Years,Austria,1966,70.2,,
Total population at birth,Years,Austria,1967,70,,
Total population at birth,Years,Austria,1968,70.2,,
Total population at birth,Years,Austria,1969,69.9,,
Total population at birth,Years,Austria,1970,70,,
Total population at birth,Years,Austria,1971,70.2,,
Total population at birth,Years,Austria,1972,70.6,,
Total population at birth,Years,Austria,1973,71.1,,
Total population at birth,Years,Austria,1974,71.1,,
Total population at birth,Years,Austria,1975,71.2,,
Total population at birth,Years,Austria,1976,71.7,,
Total population at birth,Years,Austria,1977,72,,
Total population at birth,Years,Austria,1978,72.1,,
Total population at birth,Years,Austria,1979,72.4,,
Total population at birth,Years,Austria,1980,72.6,,
Total population at birth,Years,Austria,1981,72.9,,
Total population at birth,Years,Austria,1982,73.1,,
Total population at birth,Years,Austria,1983,73.1,,
Total population at birth,Years,Austria,1984,73.7,,
Total population at birth,Years,Austria,1985,73.9,,
Total population at birth,Years,Austria,1986,74.4,,
Total population at birth,Years,Austria,1987,74.9,,
Total population at birth,Years,Austria,1988,75.3,,
Total population at birth,Years,Austria,1989,75.4,,
Total population at birth,Years,Austria,1990,75.7,,
Total population at birth,Years,Austria,1991,75.7,,
Total population at birth,Years,Austria,1992,75.9,,
Total population at birth,Years,Austria,1993,76.2,,
Total population at birth,Years,Austria,1994,76.5,,
Total population at birth,Years,Austria,1995,76.8,,
Total population at birth,Years,Austria,1996,77,,
Total population at birth,Years,Austria,1997,77.4,,
Total population at birth,Years,Austria,1998,77.8,,
Total population at birth,Years,Austria,1999,78,,
Total population at birth,Years,Austria,2000,78.2,,
Total population at birth,Years,Austria,2001,78.7,,
Total population at birth,Years,Austria,2002,78.8,,
Total population at birth,Years,Austria,2003,78.7,,
Total population at birth,Years,Austria,2004,79.3,,
Total population at birth,Years,Austria,2005,79.4,,
Total population at birth,Years,Austria,2006,80,,
Total population at birth,Years,Austria,2007,80.3,,
Total population at birth,Years,Austria,2008,80.5,,
Total population at birth,Years,Austria,2009,80.4,,
Total population at birth,Years,Austria,2010,80.7,,
Total population at birth,Years,Austria,2011,81.1,,
Total population at birth,Years,Austria,2012,81,,
Total population at birth,Years,Austria,2013,81.2,,
Total population at birth,Years,Austria,2014,81.6,,
Total population at birth,Years,Austria,2015,81.3,,
Total population at birth,Years,Austria,2016,81.7,,
Total population at birth,Years,Austria,2017,81.7,,
Total population at birth,Years,Austria,2018,81.8,,
Total population at birth,Years,Austria,2019,82,,
Total population at birth,Years,Austria,2020,81.3,,
Total population at birth,Years,Belgium,1960,69.8,,
Total population at birth,Years,Belgium,1961,70.6,,
Total population at birth,Years,Belgium,1962,70.3,,
Total population at birth,Years,Belgium,1963,70.1,,
Total population at birth,Years,Belgium,1964,70.9,,
Total population at birth,Years,Belgium,1965,70.7,,
Total population at birth,Years,Belgium,1966,70.8,,
Total population at birth,Years,Belgium,1967,71.1,,
Total population at birth,Years,Belgium,1968,70.8,,
Total population at birth,Years,Belgium,1969,70.9,,
Total population at birth,Years,Belgium,1970,71.1,,
Total population at birth,Years,Belgium,1971,71.2,,
Total population at birth,Years,Belgium,1972,71.5,,
Total population at birth,Years,Belgium,1973,71.7,,
Total population at birth,Years,Belgium,1974,72.1,,
Total population at birth,Years,Belgium,1975,72.1,,
Total population at birth,Years,Belgium,1976,72.2,,
Total population at birth,Years,Belgium,1977,72.9,,
Total population at birth,Years,Belgium,1978,72.8,,
Total population at birth,Years,Belgium,1979,73.3,,
Total population at birth,Years,Belgium,1980,73.3,,
Total population at birth,Years,Belgium,1981,73.7,,
Total population at birth,Years,Belgium,1982,74,,
Total population at birth,Years,Belgium,1983,74,,
Total population at birth,Years,Belgium,1984,74.5,,
Total population at birth,Years,Belgium,1985,74.6,,
Total population at birth,Years,Belgium,1986,74.8,,
Total population at birth,Years,Belgium,1987,75.5,,
Total population at birth,Years,Belgium,1988,75.7,,
Total population at birth,Years,Belgium,1989,75.7,,
Total population at birth,Years,Belgium,1990,76.1,,
Total population at birth,Years,Belgium,1991,76.3,,
Total population at birth,Years,Belgium,1992,76.5,,
Total population at birth,Years,Belgium,1993,76.5,,
Total population at birth,Years,Belgium,1994,76.8,,
Total population at birth,Years,Belgium,1995,77,,
Total population at birth,Years,Belgium,1996,77.3,,
Total population at birth,Years,Belgium,1997,77.5,,
Total population at birth,Years,Belgium,1998,77.6,,
Total population at birth,Years,Belgium,1999,77.7,,
Total population at birth,Years,Belgium,2000,77.8,,
Total population at birth,Years,Belgium,2001,78.1,,
Total population at birth,Years,Belgium,2002,78.2,,
Total population at birth,Years,Belgium,2003,78.2,,
Total population at birth,Years,Belgium,2004,79,,
Total population at birth,Years,Belgium,2005,79.1,,
Total population at birth,Years,Belgium,2006,79.5,,
Total population at birth,Years,Belgium,2007,79.9,,
Total population at birth,Years,Belgium,2008,79.8,,
Total population at birth,Years,Belgium,2009,80.1,,
Total population at birth,Years,Belgium,2010,80.3,,
Total population at birth,Years,Belgium,2011,80.7,B,Break
Total population at birth,Years,Belgium,2012,80.5,,
Total population at birth,Years,Belgium,2013,80.7,,
Total population at birth,Years,Belgium,2014,81.4,,
Total population at birth,Years,Belgium,2015,81.1,,
Total population at birth,Years,Belgium,2016,81.5,,
Total population at birth,Years,Belgium,2017,81.6,,
Total population at birth,Years,Belgium,2018,81.7,,
Total population at birth,Years,Belgium,2019,82.1,,
Total population at birth,Years,Belgium,2020,80.9,,
Total population at birth,Years,Canada,1961,71.3,,
Total population at birth,Years,Canada,1966,72,,
Total population at birth,Years,Canada,1971,72.9,,
Total population at birth,Years,Canada,1976,73.9,,
Total population at birth,Years,Canada,1979,75.1,,
Total population at birth,Years,Canada,1980,75.3,,
Total population at birth,Years,Canada,1981,75.5,,
Total population at birth,Years,Canada,1982,75.6,B,Break
Total population at birth,Years,Canada,1983,75.9,,
Total population at birth,Years,Canada,1984,76.2,,
Total population at birth,Years,Canada,1985,76.3,,
Total population at birth,Years,Canada,1986,76.5,,
Total population at birth,Years,Canada,1987,76.6,,
Total population at birth,Years,Canada,1988,76.8,,
Total population at birth,Years,Canada,1989,77,,
Total population at birth,Years,Canada,1990,77.2,,
Total population at birth,Years,Canada,1991,77.5,,
Total population at birth,Years,Canada,1992,77.7,,
Total population at birth,Years,Canada,1993,77.8,,
Total population at birth,Years,Canada,1994,77.9,,
Total population at birth,Years,Canada,1995,77.9,,
Total population at birth,Years,Canada,1996,78.1,,
Total population at birth,Years,Canada,1997,78.3,,
Total population at birth,Years,Canada,1998,78.5,,
Total population at birth,Years,Canada,1999,78.7,,
Total population at birth,Years,Canada,2000,79,,
Total population at birth,Years,Canada,2001,79.2,,
Total population at birth,Years,Canada,2002,79.4,,
Total population at birth,Years,Canada,2003,79.6,,
Total population at birth,Years,Canada,2004,79.8,,
Total population at birth,Years,Canada,2005,80,,
Total population at birth,Years,Canada,2006,80.3,,
Total population at birth,Years,Canada,2007,80.4,,
Total population at birth,Years,Canada,2008,80.6,,
Total population at birth,Years,Canada,2009,80.8,,
Total population at birth,Years,Canada,2010,81.1,,
Total population at birth,Years,Canada,2011,81.3,,
Total population at birth,Years,Canada,2012,81.5,,
Total population at birth,Years,Canada,2013,81.7,,
Total population at birth,Years,Canada,2014,81.8,,
Total population at birth,Years,Canada,2015,81.9,,
Total population at birth,Years,Canada,2016,82,,
Total population at birth,Years,Canada,2017,82,,
Total population at birth,Years,Canada,2018,82,,
Total population at birth,Years,Canada,2019,82.1,,
Total population at birth,Years,Canada,2020,81.7,,
Total population at birth,Years,Czech Republic,1960,70.7,,
Total population at birth,Years,Czech Republic,1961,70.7,,
Total population at birth,Years,Czech Republic,1962,69.9,,
Total population at birth,Years,Czech Republic,1963,70.5,,
Total population at birth,Years,Czech Republic,1964,70.7,,
Total population at birth,Years,Czech Republic,1965,70.4,,
Total population at birth,Years,Czech Republic,1966,70.6,,
Total population at birth,Years,Czech Republic,1967,70.5,,
Total population at birth,Years,Czech Republic,1968,70.1,,
Total population at birth,Years,Czech Republic,1969,69.6,,
Total population at birth,Years,Czech Republic,1970,69.6,,
Total population at birth,Years,Czech Republic,1971,69.8,,
Total population at birth,Years,Czech Republic,1972,70.3,,
Total population at birth,Years,Czech Republic,1973,70.2,,
Total population at birth,Years,Czech Republic,1974,70.2,,
Total population at birth,Years,Czech Republic,1975,70.6,,
Total population at birth,Years,Czech Republic,1976,70.7,,
Total population at birth,Years,Czech Republic,1977,70.8,,
Total population at birth,Years,Czech Republic,1978,70.9,,
Total population at birth,Years,Czech Republic,1979,70.9,,
Total population at birth,Years,Czech Republic,1980,70.5,,
Total population at birth,Years,Czech Republic,1981,70.8,,
Total population at birth,Years,Czech Republic,1982,70.9,,
Total population at birth,Years,Czech Republic,1983,70.8,,
Total population at birth,Years,Czech Republic,1984,71,,
Total population at birth,Years,Czech Republic,1985,71.2,,
Total population at birth,Years,Czech Republic,1986,71.1,,
Total population at birth,Years,Czech Republic,1987,71.6,,
Total population at birth,Years,Czech Republic,1988,71.8,,
Total population at birth,Years,Czech Republic,1989,71.9,,
Total population at birth,Years,Czech Republic,1990,71.6,,
Total population at birth,Years,Czech Republic,1991,72,,
Total population at birth,Years,Czech Republic,1992,72.5,,
Total population at birth,Years,Czech Republic,1993,72.9,,
Total population at birth,Years,Czech Republic,1994,73.2,,
Total population at birth,Years,Czech Republic,1995,73.3,,
Total population at birth,Years,Czech Republic,1996,74,,
Total population at birth,Years,Czech Republic,1997,74.1,,
Total population at birth,Years,Czech Republic,1998,74.7,,
Total population at birth,Years,Czech Republic,1999,74.9,,
Total population at birth,Years,Czech Republic,2000,75.1,,
Total population at birth,Years,Czech Republic,2001,75.3,,
Total population at birth,Years,Czech Republic,2002,75.4,,
Total population at birth,Years,Czech Republic,2003,75.3,,
Total population at birth,Years,Czech Republic,2004,75.8,,
Total population at birth,Years,Czech Republic,2005,76.1,,
Total population at birth,Years,Czech Republic,2006,76.7,,
Total population at birth,Years,Czech Republic,2007,77,,
Total population at birth,Years,Czech Republic,2008,77.3,,
Total population at birth,Years,Czech Republic,2009,77.4,,
