variable,measure,country,year,value,percentincrease,increase
Total population at birth,Years,Austria,1960,68.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1961,69.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1962,69.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1963,69.6,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1964,70,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1965,69.8,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1966,70.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1967,70,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1968,70.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1969,69.9,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1970,70,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1971,70.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1972,70.6,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1973,71.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1974,71.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1975,71.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1976,71.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1977,72,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1978,72.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1979,72.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1980,72.6,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1981,72.9,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1982,73.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1983,73.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1984,73.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1985,73.9,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1986,74.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1987,74.9,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1988,75.3,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1989,75.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1990,75.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1991,75.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1992,75.9,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1993,76.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1994,76.5,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1995,76.8,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1996,77,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1997,77.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1998,77.8,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,1999,78,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2000,78.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2001,78.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2002,78.8,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2003,78.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2004,79.3,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2005,79.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2006,80,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2007,80.3,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2008,80.5,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2009,80.4,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2010,80.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2011,81.1,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2012,81,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2013,81.2,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2014,81.6,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2015,81.3,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2016,81.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2017,81.7,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2018,81.8,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2019,82,18.34061135,15 <= % <= 20
Total population at birth,Years,Austria,2020,81.3,18.34061135,15 <= % <= 20
Total population at birth,Years,Belgium,1960,69.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1961,70.6,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1962,70.3,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1963,70.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1964,70.9,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1965,70.7,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1966,70.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1967,71.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1968,70.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1969,70.9,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1970,71.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1971,71.2,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1972,71.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1973,71.7,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1974,72.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1975,72.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1976,72.2,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1977,72.9,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1978,72.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1979,73.3,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1980,73.3,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1981,73.7,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1982,74,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1983,74,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1984,74.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1985,74.6,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1986,74.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1987,75.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1988,75.7,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1989,75.7,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1990,76.1,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1991,76.3,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1992,76.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1993,76.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1994,76.8,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1995,77,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1996,77.3,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1997,77.5,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1998,77.6,15.9025788,15 <= % <= 20
Total population at birth,Years,Belgium,1999,77.7,15.9025788,15 <= % <= 20
