Country,Men,Women,Total,Deaths
Australia,20.4,18.7,19.55,11.65
Austria,18.1,15.2,16.65,11.24
Belgium,16.7,15,15.85,8.14
Brazil,19.5,21,20.25,12.3
Canada,21.7,20.2,20.95,11.75
Chile,7.9,12.3,10.1,12.33
Denmark,17.1,16.6,16.85,7.61
Estonia,22.9,18.9,20.9,17.75
Finland,23,23,23,10.93
France,13.5,15.2,14.35,7.78
Germany,18.1,14.6,16.35,10.88
Greece,16.6,16.2,16.4,10.29
Hungary,25.1,22.7,23.9,15.36
Iceland,25.4,27.9,26.65,10.36
Ireland,20,16,18,9.11
Israel,18.9,16.6,17.75,10.03
Italy,11.7,10.3,11,10.19
Latvia,18.4,24.1,21.25,15.99
Lithuania,16.4,19.9,18.15,14.63
Luxembourg,18.4,14.6,16.5,9.85
Netherlands,12.6,15.6,14.1,7.8
Norway,15,12,13.5,8.08
Poland,17.9,16.1,17,14.02
Portugal,16.4,17.4,16.9,9.47
Russia,16.3,26.2,21.25,15.61
Slovenia,20.7,18,19.35,12.26
Spain,15.5,14.3,14.9,9.97
Sweden,14.4,13.1,13.75,9.42
Switzerland,12.3,10.2,11.25,8.82
Turkey,17.3,24.8,21.05,16.27
United Kingdom,26,29,27.5,9.33
United States,32.6,32.6,32.6,14.31
