COUNTRY,Country,INDICATOR,Indicator,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,67215.457,,
AUT,Austria,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,69598.854,,
AUT,Austria,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,66565.408,,
AUT,Austria,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,67962.416,,
BEL,Belgium,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,99872.138,,
BEL,Belgium,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,99448.135,,
BEL,Belgium,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,100227.169,,
BEL,Belgium,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,99745.782,,
DNK,Denmark,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,38324.651,,
DNK,Denmark,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,36235.171,,
DNK,Denmark,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,36266.934,,
DNK,Denmark,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,32540.5,,
FIN,Finland,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,47229.214,,
FIN,Finland,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,44652.056,,
