country,year,gdp,Men,Women,total,deaths
Austria,2020,55798.234,18.1,15.2,16.65,11.24
Belgium,2020,53298.605,16.700001,15,15.85,8.1400003
Denmark,2020,60365.766,17.1,16.6,16.85,7.6100001
Estonia,2020,37735.309,22.9,18.9,20.9,17.75
Finland,2020,50608.164,23,23,23,10.93
France,2020,46785.145,13.5,15.2,14.35,7.7800002
Germany,2020,54954.918,18.1,14.6,16.35,10.88
Greece,2020,27957.914,16.6,16.200001,16.4,10.29
Hungary,2020,33142.547,25.1,22.700001,23.9,15.36
Iceland,2020,53719.258,25.4,27.9,26.65,10.36
Ireland,2020,93638.602,20,16,18,9.1099997
Italy,2020,41986.512,11.7,10.3,11,10.19
Latvia,2020,31539.195,18.4,24.1,21.25,15.99
Luxembourg,2020,117958.37,18.4,14.6,16.5,9.8500004
Netherlands,2020,59388.027,12.6,15.6,14.1,7.8000002
Norway,2020,62776.57,15,12,13.5,8.0799999
Poland,2020,33948.535,17.9,16.1,17,14.02
Portugal,2020,34245.859,16.4,17.4,16.9,9.4700003
Slovenia,2020,39798.055,20.700001,18,19.35,12.26
Spain,2020,37840.152,15.5,14.3,14.9,9.9700003
Sweden,2020,55148.582,14.4,13.1,13.75,9.4200001
Switzerland,2020,71831.734,12.3,10.2,11.25,8.8199997
Turkey,2020,27602.527,17.299999,24.799999,21.049999,16.27
United Kingdom,2020,46744,26,29,27.5,9.3299999
