areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-10-13,10847
K02000001,United Kingdom,overview,2021-10-12,36020
K02000001,United Kingdom,overview,2021-10-11,48022
K02000001,United Kingdom,overview,2021-10-10,35553
K02000001,United Kingdom,overview,2021-10-09,31557
K02000001,United Kingdom,overview,2021-10-08,34901
K02000001,United Kingdom,overview,2021-10-07,37814
K02000001,United Kingdom,overview,2021-10-06,38552
K02000001,United Kingdom,overview,2021-10-05,38554
K02000001,United Kingdom,overview,2021-10-04,43015
K02000001,United Kingdom,overview,2021-10-03,31469
K02000001,United Kingdom,overview,2021-10-02,25866
K02000001,United Kingdom,overview,2021-10-01,28580
K02000001,United Kingdom,overview,2021-09-30,32002
K02000001,United Kingdom,overview,2021-09-29,34294
K02000001,United Kingdom,overview,2021-09-28,35912
K02000001,United Kingdom,overview,2021-09-27,40905
K02000001,United Kingdom,overview,2021-09-26,31515
K02000001,United Kingdom,overview,2021-09-25,27854
K02000001,United Kingdom,overview,2021-09-24,31595
K02000001,United Kingdom,overview,2021-09-23,35216
K02000001,United Kingdom,overview,2021-09-22,36149
K02000001,United Kingdom,overview,2021-09-21,38266
K02000001,United Kingdom,overview,2021-09-20,40106
K02000001,United Kingdom,overview,2021-09-19,30544
K02000001,United Kingdom,overview,2021-09-18,26304
K02000001,United Kingdom,overview,2021-09-17,29060
K02000001,United Kingdom,overview,2021-09-16,29176
K02000001,United Kingdom,overview,2021-09-15,29948
K02000001,United Kingdom,overview,2021-09-14,30940
K02000001,United Kingdom,overview,2021-09-13,34118
K02000001,United Kingdom,overview,2021-09-12,23671
K02000001,United Kingdom,overview,2021-09-11,23204
K02000001,United Kingdom,overview,2021-09-10,28727
K02000001,United Kingdom,overview,2021-09-09,33410
K02000001,United Kingdom,overview,2021-09-08,35239
K02000001,United Kingdom,overview,2021-09-07,38020
K02000001,United Kingdom,overview,2021-09-06,44146
K02000001,United Kingdom,overview,2021-09-05,31254
K02000001,United Kingdom,overview,2021-09-04,31365
K02000001,United Kingdom,overview,2021-09-03,38022
K02000001,United Kingdom,overview,2021-09-02,41626
K02000001,United Kingdom,overview,2021-09-01,42836
K02000001,United Kingdom,overview,2021-08-31,44481
K02000001,United Kingdom,overview,2021-08-30,34176
K02000001,United Kingdom,overview,2021-08-29,25697
K02000001,United Kingdom,overview,2021-08-28,27165
K02000001,United Kingdom,overview,2021-08-27,33182
K02000001,United Kingdom,overview,2021-08-26,36985
K02000001,United Kingdom,overview,2021-08-25,38098
K02000001,United Kingdom,overview,2021-08-24,37024
K02000001,United Kingdom,overview,2021-08-23,39042
K02000001,United Kingdom,overview,2021-08-22,28299
K02000001,United Kingdom,overview,2021-08-21,28091
K02000001,United Kingdom,overview,2021-08-20,31673
K02000001,United Kingdom,overview,2021-08-19,35833
K02000001,United Kingdom,overview,2021-08-18,38012
K02000001,United Kingdom,overview,2021-08-17,37188
K02000001,United Kingdom,overview,2021-08-16,36193
K02000001,United Kingdom,overview,2021-08-15,24923
K02000001,United Kingdom,overview,2021-08-14,24646
K02000001,United Kingdom,overview,2021-08-13,28448
K02000001,United Kingdom,overview,2021-08-12,31130
K02000001,United Kingdom,overview,2021-08-11,32739
K02000001,United Kingdom,overview,2021-08-10,30931
K02000001,United Kingdom,overview,2021-08-09,31533
K02000001,United Kingdom,overview,2021-08-08,22418
K02000001,United Kingdom,overview,2021-08-07,22114
K02000001,United Kingdom,overview,2021-08-06,27542
K02000001,United Kingdom,overview,2021-08-05,31082
K02000001,United Kingdom,overview,2021-08-04,31727
K02000001,United Kingdom,overview,2021-08-03,29819
K02000001,United Kingdom,overview,2021-08-02,29276
K02000001,United Kingdom,overview,2021-08-01,20513
K02000001,United Kingdom,overview,2021-07-31,20153
K02000001,United Kingdom,overview,2021-07-30,24283
K02000001,United Kingdom,overview,2021-07-29,27908
K02000001,United Kingdom,overview,2021-07-28,29663
K02000001,United Kingdom,overview,2021-07-27,29046
K02000001,United Kingdom,overview,2021-07-26,29398
K02000001,United Kingdom,overview,2021-07-25,21776
K02000001,United Kingdom,overview,2021-07-24,22481
K02000001,United Kingdom,overview,2021-07-23,27278
K02000001,United Kingdom,overview,2021-07-22,30749
K02000001,United Kingdom,overview,2021-07-21,34930
K02000001,United Kingdom,overview,2021-07-20,39067
K02000001,United Kingdom,overview,2021-07-19,46905
K02000001,United Kingdom,overview,2021-07-18,35504
K02000001,United Kingdom,overview,2021-07-17,37854
K02000001,United Kingdom,overview,2021-07-16,54241
K02000001,United Kingdom,overview,2021-07-15,60764
K02000001,United Kingdom,overview,2021-07-14,53833
K02000001,United Kingdom,overview,2021-07-13,46735
K02000001,United Kingdom,overview,2021-07-12,43648
K02000001,United Kingdom,overview,2021-07-11,30027
K02000001,United Kingdom,overview,2021-07-10,27878
K02000001,United Kingdom,overview,2021-07-09,32222
K02000001,United Kingdom,overview,2021-07-08,33353
K02000001,United Kingdom,overview,2021-07-07,37819
K02000001,United Kingdom,overview,2021-07-06,35367
K02000001,United Kingdom,overview,2021-07-05,34200
